Zip Code,Neighborhood
02134,Allston
02163,Allston
02116,Back Bay
02117,Back Bay
02123,Back Bay
02133,Back Bay
02199,Back Bay
02216,Back Bay
02217,Back Bay
02295,Back Bay
02114,Beacon Hill
02108,Beacon Hill
02135,Brighton
02113,Downtown
02109,Downtown
02110,Downtown
02199,Downtown
02203,Downtown
02215,Downtown
02222,Downtown
02283,Downtown
02284,Downtown
02293,Downtown
02297,Downtown
02298,Downtown
02129,Charlestown
02111,Chinatown
02121,Dorchester
02122,Dorchester
02124,Dorchester
02125,Dorchester
02128,East Boston
02115,Fenway/Kenmore
02215,Fenway/Kenmore
02136,Hyde Park
02130,Jamaica Plain
02115,Longwood
02126,Mattapan
02120,Mission Hill
02119,Roxbury
02120,Roxbury
02121,Roxbury
02127,South Boston
02210,South Boston Waterfront
02118,South End
02131,Roslindale
02132,West Roxbury
